date,close_eur
2017-01-01,948.79
2017-01-02,972.00
2017-01-03,993.02
2017-01-04,1071.50
2017-01-05,959.59
2017-01-06,860.58
2017-01-07,857.05
2017-01-08,868.07
2017-01-09,858.57
2017-01-10,866.00
2017-01-11,747.17
2017-01-12,769.99
2017-01-13,784.77
2017-01-14,773.03
2017-01-15,777.00
2017-01-16,787.00
2017-01-17,852.03
2017-01-18,835.98
2017-01-19,845.50
2017-01-20,838.34
2017-01-21,863.50
2017-01-22,859.99
2017-01-23,855.00
2017-01-24,835.99
2017-01-25,833.04
2017-01-26,857.50
2017-01-27,857.90
2017-01-28,857.45
2017-01-29,858.21
2017-01-30,860.50
2017-01-31,900.50
2017-02-01,914.30
2017-02-02,941.46
2017-02-03,947.00
2017-02-04,961.14
2017-02-05,943.00
2017-02-06,950.52
2017-02-07,987.97
2017-02-08,984.50
2017-02-09,923.99
2017-02-10,939.50
2017-02-11,953.96
2017-02-12,945.46
2017-02-13,948.99
2017-02-14,960.84
2017-02-15,960.63
2017-02-16,979.99
2017-02-17,994.96
2017-02-18,997.00
2017-02-19,990.00
2017-02-20,1020.08
2017-02-21,1062.99
2017-02-22,1066.07
2017-02-23,1114.72
2017-02-24,1116.16
2017-02-25,1083.47
2017-02-26,1105.16
2017-02-27,1125.00
2017-02-28,1118.89
2017-03-01,1157.00
2017-03-02,1194.57
2017-03-03,1206.99
2017-03-04,1194.38
2017-03-05,1184.03
2017-03-06,1203.18
2017-03-07,1172.32
2017-03-08,1080.71
2017-03-09,1132.98
2017-03-10,1046.00
2017-03-11,1106.47
2017-03-12,1152.00
2017-03-13,1164.99
2017-03-14,1172.75
2017-03-15,1169.99
2017-03-16,1088.18
2017-03-17,994.10
2017-03-18,884.99
2017-03-19,936.61
2017-03-20,965.00
2017-03-21,1018.00
2017-03-22,945.87
2017-03-23,947.54
2017-03-24,859.48
2017-03-25,879.99
2017-03-26,883.01
2017-03-27,957.54
2017-03-28,959.57
2017-03-29,947.00
2017-03-30,943.34
2017-03-31,995.80
2017-04-01,1000.00
2017-04-02,1010.73
2017-04-03,1065.75
2017-04-04,1070.00
2017-04-05,1060.99
2017-04-06,1119.63
2017-04-07,1120.21
2017-04-08,1112.25
2017-04-09,1133.23
2017-04-10,1136.98
2017-04-11,1153.24
2017-04-12,1138.00
2017-04-13,1102.58
2017-04-14,1112.69
2017-04-15,1108.97
2017-04-16,1108.50
2017-04-17,1115.03
2017-04-18,1124.33
2017-04-19,1121.29
2017-04-20,1150.34
2017-04-21,1154.99
2017-04-22,1148.00
2017-04-23,1140.73
2017-04-24,1153.22
2017-04-25,1168.00
2017-04-26,1180.87
2017-04-27,1213.54
2017-04-28,1219.80
2017-04-29,1224.80
2017-04-30,1221.15
2017-05-01,1259.05
2017-05-02,1295.20
2017-05-03,1377.00
2017-05-04,1387.22
2017-05-05,1382.40
2017-05-06,1404.51
2017-05-07,1413.00
2017-05-08,1514.01
2017-05-09,1585.00
2017-05-10,1623.69
2017-05-11,1686.95
2017-05-12,1551.00
2017-05-13,1634.32
2017-05-14,1635.50
2017-05-15,1581.73
2017-05-16,1582.00
2017-05-17,1648.30
2017-05-18,1715.50
2017-05-19,1760.20
2017-05-20,1800.00
2017-05-21,1800.63
2017-05-22,1868.64
2017-05-23,1996.99
2017-05-24,2124.20
2017-05-25,1987.58
2017-05-26,2009.99
2017-05-27,1797.17
2017-05-28,1925.98
2017-05-29,2045.30
2017-05-30,1984.98
2017-05-31,2066.45
2017-06-01,2155.15
2017-06-02,2231.75
2017-06-03,2277.91
2017-06-04,2262.00
2017-06-05,2398.00
2017-06-06,2569.42
2017-06-07,2424.43
2017-06-08,2517.80
2017-06-09,2562.66
2017-06-10,2594.00
2017-06-11,2619.96
2017-06-12,2372.22
2017-06-13,2429.79
2017-06-14,2203.04
2017-06-15,2156.57
2017-06-16,2220.69
2017-06-17,2353.00
2017-06-18,2238.32
2017-06-19,2307.99
2017-06-20,2439.00
2017-06-21,2379.95
2017-06-22,2417.60
2017-06-23,2404.59
2017-06-24,2293.47
2017-06-25,2235.07
2017-06-26,2157.01
2017-06-27,2231.01
2017-06-28,2247.51
2017-06-29,2220.00
2017-06-30,2156.00
2017-07-01,2107.20
2017-07-02,2194.41
2017-07-03,2232.01
2017-07-04,2289.41
2017-07-05,2305.79
2017-07-06,2292.90
2017-07-07,2210.00
2017-07-08,2239.99
2017-07-09,2197.73
2017-07-10,2063.67
2017-07-11,2021.49
2017-07-12,2089.71
2017-07-13,2048.87
2017-07-14,1940.19
2017-07-15,1731.52
2017-07-16,1679.12
2017-07-17,1939.09
2017-07-18,2007.25
2017-07-19,1968.66
2017-07-20,2448.80
2017-07-21,2289.80
2017-07-22,2424.90
2017-07-23,2353.27
2017-07-24,2375.80
2017-07-25,2208.99
2017-07-26,2179.30
2017-07-27,2289.29
2017-07-28,2366.60
2017-07-29,2313.15
2017-07-30,2354.00
2017-07-31,2471.38
2017-08-01,2325.79
2017-08-02,2300.00
2017-08-03,2371.80
2017-08-04,2432.99
2017-08-05,2759.52
2017-08-06,2737.69
2017-08-07,2868.98
2017-08-08,2915.00
2017-08-09,2863.48
2017-08-10,2920.38
2017-08-11,3111.96
2017-08-12,3287.12
2017-08-13,3432.58
2017-08-14,3674.29
2017-08-15,3537.89
2017-08-16,3700.00
2017-08-17,3656.66
2017-08-18,3519.99
2017-08-19,3553.44
2017-08-20,3488.45
2017-08-21,3405.98
2017-08-22,3492.78
2017-08-23,3529.96
2017-08-24,3674.61
2017-08-25,3679.48
2017-08-26,3673.96
2017-08-27,3642.59
2017-08-28,3661.00
2017-08-29,3818.18
2017-08-30,3839.96
2017-08-31,3973.00
2017-09-01,4149.99
2017-09-02,3889.89
2017-09-03,3912.99
2017-09-04,3646.37
2017-09-05,3815.92
2017-09-06,3929.05
2017-09-07,3908.72
2017-09-08,3660.00
2017-09-09,3655.79
2017-09-10,3585.20
2017-09-11,3545.42
2017-09-12,3489.13
2017-09-13,3255.29
2017-09-14,2717.64
2017-09-15,3162.06
2017-09-16,3156.22
2017-09-17,3124.36
2017-09-18,3449.00
2017-09-19,3266.82
2017-09-20,3274.39
2017-09-21,3051.89
2017-09-22,3061.30
2017-09-23,3163.60
2017-09-24,3100.76
2017-09-25,3316.85
2017-09-26,3275.75
2017-09-27,3559.50
2017-09-28,3536.00
2017-09-29,3526.67
2017-09-30,3665.79
2017-10-01,3690.79
2017-10-02,3730.10
2017-10-03,3670.00
2017-10-04,3590.83
2017-10-05,3671.99
2017-10-06,3688.00
2017-10-07,3752.40
2017-10-08,3871.11
2017-10-09,4030.01
2017-10-10,4027.54
2017-10-11,4059.99
2017-10-12,4549.00
2017-10-13,4740.50
2017-10-14,4879.99
2017-10-15,4792.99
2017-10-16,4864.00
2017-10-17,4759.20
2017-10-18,4746.19
2017-10-19,4790.71
2017-10-20,5034.74
2017-10-21,5115.69
2017-10-22,5103.80
2017-10-23,4991.20
2017-10-24,4740.90
2017-10-25,4894.94
2017-10-26,5074.07
2017-10-27,4992.81
2017-10-28,4973.01
2017-10-29,5276.10
2017-10-30,5276.50
2017-10-31,5515.40
2017-11-01,5823.09
2017-11-02,6045.00
2017-11-03,6213.63
2017-11-04,6388.19
2017-11-05,6374.46
2017-11-06,6040.10
2017-11-07,6153.00
2017-11-08,6470.00
2017-11-09,6180.00
2017-11-10,5720.00
2017-11-11,5473.90
2017-11-12,5084.97
2017-11-13,5642.98
2017-11-14,5669.99
2017-11-15,6229.46
2017-11-16,6666.66
2017-11-17,6545.00
2017-11-18,6619.99
2017-11-19,6801.00
2017-11-20,7008.98
2017-11-21,6940.00
2017-11-22,6981.01
2017-11-23,6772.09
2017-11-24,6880.23
2017-11-25,7238.97
2017-11-26,7709.98
2017-11-27,8055.00
2017-11-28,8250.00
2017-11-29,8350.57
2017-11-30,8450.00
2017-12-01,9150.00
2017-12-02,9179.01
2017-12-03,9457.00
2017-12-04,9740.00
2017-12-05,9931.30
2017-12-06,11605.49
2017-12-07,13835.00
2017-12-08,13240.81
2017-12-09,12122.01
2017-12-10,12323.98
2017-12-11,13571.22
2017-12-12,14003.97
2017-12-13,13687.62
2017-12-14,13735.00
2017-12-15,14571.54
2017-12-16,16105.00
2017-12-17,15884.81
2017-12-18,15950.04
2017-12-19,14909.91
2017-12-20,13820.00
2017-12-21,13097.23
2017-12-22,11630.01
2017-12-23,12193.12
2017-12-24,11843.63
2017-12-25,11600.33
2017-12-26,13137.18
2017-12-27,12950.00
2017-12-28,12179.92
